dp_id,obs_creator_did
ADP.2022-12-14T08:59:35.406,ivo://eso.org/origfile?OB_2286234_2019-07-08T23-24.fits
ADP.2022-12-14T08:59:35.407,ivo://eso.org/origfile?OB_1928100_2019-07-10T00-02.fits
ADP.2022-12-14T08:59:35.408,ivo://eso.org/origfile?OB_2260266_2019-07-23T01-36.fits
ADP.2022-12-14T08:59:35.409,ivo://eso.org/origfile?OB_2260266_2019-07-23T01-42.fits
ADP.2022-12-14T08:59:35.410,ivo://eso.org/origfile?OB_2260257_2019-07-28T01-23.fits
ADP.2022-12-14T08:59:35.411,ivo://eso.org/origfile?OB_2302271_2019-07-28T07-32.fits
ADP.2022-12-14T08:59:35.412,ivo://eso.org/origfile?OB_2256245_2019-08-01T01-10.fits
ADP.2022-12-14T08:59:35.413,ivo://eso.org/origfile?OB_2246071_2019-08-02T01-48.fits
ADP.2022-12-14T08:59:35.414,ivo://eso.org/origfile?OB_2249874_2019-08-02T00-57.fits
ADP.2022-12-14T08:59:35.415,ivo://eso.org/origfile?OB_2249877_2019-08-02T01-25.fits
ADP.2022-12-14T08:59:35.416,ivo://eso.org/origfile?OB_2256245_2019-08-03T01-09.fits
ADP.2022-12-14T08:59:35.417,ivo://eso.org/origfile?OB_2147908_2019-08-06T03-34.fits
ADP.2022-12-14T08:59:35.418,ivo://eso.org/origfile?OB_2150272_2019-08-06T01-39.fits
ADP.2022-12-14T08:59:35.419,ivo://eso.org/origfile?OB_2150272_2019-08-06T01-44.fits
ADP.2022-12-14T08:59:35.420,ivo://eso.org/origfile?OB_2150272_2019-08-06T01-54.fits
ADP.2022-12-14T08:59:35.421,ivo://eso.org/origfile?OB_2292708_2019-08-06T07-02.fits
ADP.2022-12-14T08:59:35.422,ivo://eso.org/origfile?OB_2292708_2019-08-06T07-12.fits
ADP.2022-12-14T08:59:35.423,ivo://eso.org/origfile?OB_2079327_2019-08-07T09-17.fits
ADP.2022-12-14T08:59:35.424,ivo://eso.org/origfile?OB_2079330_2019-08-07T09-52.fits
ADP.2022-12-14T08:59:35.425,ivo://eso.org/origfile?OB_2150275_2019-08-07T02-59.fits
ADP.2022-12-14T08:59:35.426,ivo://eso.org/origfile?OB_2292356_2019-08-07T04-22.fits
ADP.2022-12-14T08:59:35.427,ivo://eso.org/origfile?OB_2311768_2019-08-07T01-43.fits
ADP.2022-12-14T08:59:35.428,ivo://eso.org/origfile?OB_2461164_2019-08-08T01-42.fits
ADP.2022-12-14T08:59:35.429,ivo://eso.org/origfile?OB_2300194_2019-08-09T02-10.fits
ADP.2022-12-14T08:59:35.430,ivo://eso.org/origfile?OB_2300200_2019-08-09T03-28.fits
ADP.2022-12-14T08:59:35.431,ivo://eso.org/origfile?OB_2461164_2019-08-09T23-34.fits
ADP.2022-12-14T08:59:35.432,ivo://eso.org/origfile?OB_2562987_2019-08-15T07-30.fits
ADP.2022-12-14T08:59:35.433,ivo://eso.org/origfile?OB_2078895_2019-08-16T09-49.fits
ADP.2022-12-14T08:59:35.434,ivo://eso.org/origfile?OB_2078898_2019-08-16T10-17.fits
ADP.2022-12-14T08:59:35.435,ivo://eso.org/origfile?OB_2563432_2019-08-16T08-50.fits
ADP.2022-12-14T08:59:35.436,ivo://eso.org/origfile?OB_2094300_2019-08-17T09-44.fits
ADP.2022-12-14T08:59:35.437,ivo://eso.org/origfile?OB_2563438_2019-08-17T05-48.fits
ADP.2022-12-14T08:59:35.438,ivo://eso.org/origfile?OB_2563435_2019-08-19T09-15.fits
ADP.2022-12-14T08:59:35.439,ivo://eso.org/origfile?OB_2563435_2019-08-21T06-22.fits
ADP.2022-12-14T08:59:35.440,ivo://eso.org/origfile?OB_2562911_2019-08-22T09-37.fits
ADP.2022-12-14T08:59:35.441,ivo://eso.org/origfile?OB_2563435_2019-08-23T07-32.fits
ADP.2022-12-14T08:59:35.442,ivo://eso.org/origfile?OB_2175054_2019-08-26T03-43.fits
ADP.2022-12-14T08:59:35.443,ivo://eso.org/origfile?OB_2246071_2019-08-25T23-45.fits
ADP.2022-12-14T08:59:35.444,ivo://eso.org/origfile?OB_2079490_2019-08-29T08-50.fits
ADP.2022-12-14T08:59:35.445,ivo://eso.org/origfile?OB_2311944_2019-08-29T02-05.fits
ADP.2022-12-14T08:59:35.446,ivo://eso.org/origfile?OB_2311944_2019-08-29T02-18.fits
ADP.2022-12-14T08:59:35.447,ivo://eso.org/origfile?OB_2572785_2019-08-29T00-33.fits
ADP.2022-12-14T08:59:35.448,ivo://eso.org/origfile?OB_2572788_2019-09-01T00-01.fits
ADP.2022-12-14T08:59:35.449,ivo://eso.org/origfile?OB_2079268_2019-09-02T08-59.fits
ADP.2022-12-14T08:59:35.450,ivo://eso.org/origfile?OB_2079271_2019-09-02T09-26.fits
ADP.2022-12-14T08:59:35.451,ivo://eso.org/origfile?OB_2300200_2019-09-06T04-14.fits
ADP.2022-12-14T08:59:35.452,ivo://eso.org/origfile?OB_2300206_2019-09-05T23-58.fits
ADP.2022-12-14T08:59:35.453,ivo://eso.org/origfile?OB_2562882_2019-09-10T05-52.fits
ADP.2022-12-14T08:59:35.454,ivo://eso.org/origfile?OB_2562911_2019-09-10T07-19.fits
ADP.2022-12-14T08:59:35.455,ivo://eso.org/origfile?OB_2562888_2019-09-14T09-19.fits
ADP.2022-12-14T08:59:35.456,ivo://eso.org/origfile?OB_2562765_2019-09-16T04-48.fits
ADP.2022-12-14T08:59:35.457,ivo://eso.org/origfile?OB_2562885_2019-09-16T05-55.fits
ADP.2022-12-14T08:59:35.458,ivo://eso.org/origfile?OB_2572791_2019-09-16T08-15.fits
ADP.2022-12-14T08:59:35.459,ivo://eso.org/origfile?OB_2281513_2019-09-16T23-52.fits
ADP.2022-12-14T08:59:35.460,ivo://eso.org/origfile?OB_2562706_2019-09-17T02-44.fits
ADP.2022-12-14T08:59:35.461,ivo://eso.org/origfile?OB_2572788_2019-09-17T01-06.fits
ADP.2022-12-14T08:59:35.462,ivo://eso.org/origfile?OB_2580282_2019-09-17T04-17.fits
ADP.2022-12-14T08:59:35.463,ivo://eso.org/origfile?OB_2273831_2019-09-23T00-14.fits
ADP.2022-12-14T08:59:35.464,ivo://eso.org/origfile?OB_2589455_2019-09-24T00-09.fits
ADP.2022-12-14T08:59:35.465,ivo://eso.org/origfile?OB_2594466_2019-09-28T01-16.fits
ADP.2022-12-14T08:59:35.466,ivo://eso.org/origfile?OB_2079268_2019-09-29T07-02.fits
ADP.2022-12-14T08:59:35.467,ivo://eso.org/origfile?OB_2450677_2019-09-29T08-13.fits
ADP.2022-12-14T08:59:35.468,ivo://eso.org/origfile?OB_2597166_2019-10-01T01-48.fits
ADP.2022-12-14T08:59:35.469,ivo://eso.org/origfile?OB_2527261_2019-10-02T08-42.fits
ADP.2022-12-14T08:59:35.470,ivo://eso.org/origfile?OB_2533858_2019-10-02T07-44.fits
ADP.2022-12-14T08:59:35.471,ivo://eso.org/origfile?OB_2533907_2019-10-02T04-49.fits
ADP.2022-12-14T08:59:35.472,ivo://eso.org/origfile?OB_2533864_2019-10-03T07-58.fits
ADP.2022-12-14T08:59:35.473,ivo://eso.org/origfile?OB_2538694_2019-10-03T06-55.fits
ADP.2022-12-14T08:59:35.474,ivo://eso.org/origfile?OB_2514931_2019-10-03T00-34.fits
ADP.2022-12-14T08:59:35.475,ivo://eso.org/origfile?OB_2514931_2019-10-04T00-04.fits
ADP.2022-12-14T08:59:35.476,ivo://eso.org/origfile?OB_2527311_2019-10-04T06-48.fits
ADP.2022-12-14T08:59:35.477,ivo://eso.org/origfile?OB_2533901_2019-10-04T02-03.fits
ADP.2022-12-14T08:59:35.478,ivo://eso.org/origfile?OB_2533910_2019-10-04T03-46.fits
ADP.2022-12-14T08:59:35.479,ivo://eso.org/origfile?OB_2507890_2019-10-06T01-04.fits
ADP.2022-12-14T08:59:35.480,ivo://eso.org/origfile?OB_2508417_2019-10-06T02-34.fits
ADP.2022-12-14T08:59:35.481,ivo://eso.org/origfile?OB_2508417_2019-10-06T02-35.fits
ADP.2022-12-14T08:59:35.482,ivo://eso.org/origfile?OB_2526907_2019-10-06T01-59.fits
ADP.2022-12-14T08:59:35.483,ivo://eso.org/origfile?OB_2527206_2019-10-06T03-22.fits
ADP.2022-12-14T08:59:35.484,ivo://eso.org/origfile?OB_2527209_2019-10-06T03-42.fits
ADP.2022-12-14T08:59:35.485,ivo://eso.org/origfile?OB_2527212_2019-10-06T04-15.fits
ADP.2022-12-14T08:59:35.486,ivo://eso.org/origfile?OB_2527258_2019-10-06T01-31.fits
ADP.2022-12-14T08:59:35.487,ivo://eso.org/origfile?OB_2496641_2019-10-08T07-23.fits
ADP.2022-12-14T08:59:35.488,ivo://eso.org/origfile?OB_2496644_2019-10-08T07-27.fits
ADP.2022-12-14T08:59:35.489,ivo://eso.org/origfile?OB_2529463_2019-10-08T07-31.fits
ADP.2022-12-14T08:59:35.490,ivo://eso.org/origfile?OB_2529466_2019-10-08T08-09.fits
ADP.2022-12-14T08:59:35.491,ivo://eso.org/origfile?OB_2473742_2019-10-10T03-22.fits
ADP.2022-12-14T08:59:35.492,ivo://eso.org/origfile?OB_2485424_2019-10-10T02-17.fits
ADP.2022-12-14T08:59:35.493,ivo://eso.org/origfile?OB_2508525_2019-10-10T04-20.fits
ADP.2022-12-14T08:59:35.494,ivo://eso.org/origfile?OB_2508594_2019-10-10T00-39.fits
ADP.2022-12-14T08:59:35.495,ivo://eso.org/origfile?OB_2508699_2019-10-10T01-31.fits
ADP.2022-12-14T08:59:35.496,ivo://eso.org/origfile?OB_2527255_2019-10-10T01-08.fits
ADP.2022-12-14T08:59:35.497,ivo://eso.org/origfile?OB_2485403_2019-10-11T01-28.fits
ADP.2022-12-14T08:59:35.498,ivo://eso.org/origfile?OB_2485417_2019-10-11T01-57.fits
ADP.2022-12-14T08:59:35.499,ivo://eso.org/origfile?OB_2485417_2019-10-11T02-11.fits
ADP.2022-12-14T08:59:35.500,ivo://eso.org/origfile?OB_2507724_2019-10-11T00-46.fits
ADP.2022-12-14T08:59:35.501,ivo://eso.org/origfile?OB_2550443_2019-10-11T03-17.fits
ADP.2022-12-14T08:59:35.502,ivo://eso.org/origfile?OB_2550443_2019-10-11T03-21.fits
ADP.2022-12-14T08:59:35.503,ivo://eso.org/origfile?OB_2473460_2019-10-12T06-45.fits
ADP.2022-12-14T08:59:35.504,ivo://eso.org/origfile?OB_2507687_2019-10-12T02-22.fits
ADP.2022-12-14T08:59:35.505,ivo://eso.org/origfile?OB_2514911_2019-10-12T01-52.fits
ADP.2022-12-14T08:59:35.506,ivo://eso.org/origfile?OB_2527215_2019-10-12T08-53.fits
ADP.2022-12-14T08:59:35.507,ivo://eso.org/origfile?OB_2538682_2019-10-12T08-00.fits
ADP.2022-12-14T08:59:35.508,ivo://eso.org/origfile?OB_2555164_2019-10-12T00-47.fits
ADP.2022-12-14T08:59:35.509,ivo://eso.org/origfile?OB_2514917_2019-10-13T02-45.fits
ADP.2022-12-14T08:59:35.510,ivo://eso.org/origfile?OB_2507536_2019-10-16T00-22.fits
ADP.2022-12-14T08:59:35.511,ivo://eso.org/origfile?OB_2508571_2019-10-16T08-51.fits
ADP.2022-12-14T08:59:35.512,ivo://eso.org/origfile?OB_2527218_2019-10-16T06-02.fits
ADP.2022-12-14T08:59:35.513,ivo://eso.org/origfile?OB_2503058_2019-10-17T07-53.fits
ADP.2022-12-14T08:59:35.514,ivo://eso.org/origfile?OB_2507946_2019-10-17T08-56.fits
ADP.2022-12-14T08:59:35.515,ivo://eso.org/origfile?OB_2502219_2019-10-18T08-06.fits
ADP.2022-12-14T08:59:35.516,ivo://eso.org/origfile?OB_2502219_2019-10-18T08-17.fits
ADP.2022-12-14T08:59:35.517,ivo://eso.org/origfile?OB_2485406_2019-10-21T00-28.fits
ADP.2022-12-14T08:59:35.518,ivo://eso.org/origfile?OB_2079268_2019-10-22T06-44.fits
ADP.2022-12-14T08:59:35.519,ivo://eso.org/origfile?OB_2079271_2019-10-22T07-10.fits
ADP.2022-12-14T08:59:35.520,ivo://eso.org/origfile?OB_2079386_2019-10-22T07-46.fits
ADP.2022-12-14T08:59:35.521,ivo://eso.org/origfile?OB_2079389_2019-10-22T08-20.fits
ADP.2022-12-14T08:59:35.522,ivo://eso.org/origfile?OB_2508669_2019-10-22T08-52.fits
ADP.2022-12-14T08:59:35.523,ivo://eso.org/origfile?OB_2514703_2019-10-22T04-23.fits
ADP.2022-12-14T08:59:35.524,ivo://eso.org/origfile?OB_2533904_2019-10-22T01-54.fits
ADP.2022-12-14T08:59:35.525,ivo://eso.org/origfile?OB_2079688_2019-10-23T06-45.fits
ADP.2022-12-14T08:59:35.526,ivo://eso.org/origfile?OB_2079694_2019-10-23T06-21.fits
