file_old,ra_old,ra_new,ra_sim,dec_old,dec_new,dec_sim,obj_old,obj_new,obj_sim,diff_ra,diff_dec,diff_ra_newsim,diff_dec_newsim,diff_ra_newold,diff_dec_newold
OB_2262359_2019-01-23T08-15.fits,170.63197625,170.6317680357758,170.63176803577585,-53.36984916666667,-53.36836775071833,-53.368367750718335,HD  98922,** RST 1578B,** RST 1578B,-2.0463630789890885e-10,2.5579538487363607e-11,-2.0463630789890885e-10,2.5579538487363607e-11,-0.7495712071772687,5.333097414026611
OB_2262359_2019-01-23T08-33.fits,170.63197625,170.6317680357758,170.63176803577585,-53.36984916666667,-53.36836775071833,-53.368367750718335,HD  98922,** RST 1578B,** RST 1578B,-2.0463630789890885e-10,2.5579538487363607e-11,-2.0463630789890885e-10,2.5579538487363607e-11,-0.7495712071772687,5.333097414026611
OB_2450677_2019-09-29T08-13.fits,76.95606749999997,76.95652603458333,76.95652603458333,30.40132611111111,30.40143817388888,30.401438173888888,V RW Aur,V* RW Aur,V* RW Aur,0.0,-2.5579538487363607e-11,0.0,-2.5579538487363607e-11,1.6507245000923376,0.40342599997273965
OB_2507672_2019-12-24T04-56.fits,96.25791124999999,96.25541896722,96.25541896722,19.8484675,19.84892247043,19.848922470429997,HDE 256 725 B,HD 256725,HD 256725,0.0,1.2789769243681803e-11,0.0,1.2789769243681803e-11,-8.972218007988886,1.6378935479963275
OB_2507672_2019-12-24T05-14.fits,96.25791124999999,96.25541896722,96.25541896722,19.8484675,19.84892247043,19.848922470429997,HDE 256 725 B,HD 256725,HD 256725,0.0,1.2789769243681803e-11,0.0,1.2789769243681803e-11,-8.972218007988886,1.6378935479963275
OB_2507946_2019-10-17T08-56.fits,97.98039041666665,97.98133544656,97.98133544656,4.943133611111111,4.94286014336,4.94286014336,HD 46 150,HD  46150,HD  46150,0.0,0.0,0.0,0.0,3.4021076160399844,-0.9844839039985231
OB_2507966_2020-01-02T04-16.fits,98.04260083333332,98.04362790887669,98.04362790887669,4.966484722222223,4.966601364539723,4.966601364539723,HD 46 202,HD  46202,HD  46202,0.0,0.0,0.0,0.0,3.6974719561044367,0.41991234299949554
OB_2507966_2020-01-02T04-28.fits,98.04260083333332,98.04362790887669,98.04362790887669,4.966484722222223,4.966601364539723,4.966601364539723,HD 46 202,HD  46202,HD  46202,0.0,0.0,0.0,0.0,3.6974719561044367,0.41991234299949554
OB_2507966_2020-01-03T04-40.fits,98.04260083333332,98.04362790887669,98.04362790887669,4.966484722222223,4.966601364539723,4.966601364539723,HD 46 202,HD  46202,HD  46202,0.0,0.0,0.0,0.0,3.6974719561044367,0.41991234299949554
OB_2507966_2020-01-03T04-51.fits,98.04260083333332,98.04362790887669,98.04362790887669,4.966484722222223,4.966601364539723,4.966601364539723,HD 46 202,HD  46202,HD  46202,0.0,0.0,0.0,0.0,3.6974719561044367,0.41991234299949554
OB_2508886_2019-12-30T06-11.fits,100.244415,100.2439650514,100.2439650514,9.89575611111111,9.89506735806,9.89506735806,15 Mon AaAb,*  15 Mon B,*  15 Mon B,0.0,0.0,0.0,0.0,-1.6198149600256784,-2.4795109839949703
OB_2508886_2019-12-30T06-18.fits,100.244415,100.2439650514,100.2439650514,9.89575611111111,9.89506735806,9.89506735806,15 Mon AaAb,*  15 Mon B,*  15 Mon B,0.0,0.0,0.0,0.0,-1.6198149600256784,-2.4795109839949703
