FILE                              	RA               	DEC               	OBJECT                     	OBSTECH                     	
OB_1176064_2015-06-26T06-51.fits  	270.01790894804  	-35.9276048409    	V* V540 Sgr                	IMAGE,CLASSICAL,CORONOGRAPHY	
OB_1176067_2015-06-26T07-08.fits  	269.79395969988  	-38.57347375301999	HD 163691                  	IMAGE,CLASSICAL,CORONOGRAPHY	
OB_1176067_2015-06-26T07-12.fits  	269.79395969988  	-38.57347375301999	HD 163691                  	IMAGE,CLASSICAL,CORONOGRAPHY	
OB_1176075_2015-04-09T09-57.fits  	276.90220071786  	-12.46636071492   	V* UY Sct                  	IMAGE,CLASSICAL,CORONOGRAPHY	
OB_1176075_2015-04-09T10-09.fits  	276.90220071786  	-12.46636071492   	V* UY Sct                  	IMAGE,CLASSICAL,CORONOGRAPHY	
OB_1176075_2015-04-20T08-09.fits  	276.90220071786  	-12.46636071492   	V* UY Sct                  	IMAGE,CLASSICAL,CORONOGRAPHY	
OB_1176075_2015-04-20T08-22.fits  	276.90220071786  	-12.46636071492   	V* UY Sct                  	IMAGE,CLASSICAL,CORONOGRAPHY	
OB_1176078_2015-04-20T08-50.fits  	278.8017798215825	-8.244070510958609	* alf Sct                  	IMAGE,CLASSICAL,CORONOGRAPHY	
OB_1176078_2015-04-20T08-54.fits  	278.8017798215825	-8.244070510958609	* alf Sct                  	IMAGE,CLASSICAL,CORONOGRAPHY	
OB_1176084_2015-04-20T09-13.fits  	288.49420099949  	0.1255375505099999	HD 179821                  	IMAGE,CLASSICAL,CORONOGRAPHY	
OB_1176084_2015-04-20T09-26.fits  	288.49420099949  	0.1255375505099999	HD 179821                  	IMAGE,CLASSICAL,CORONOGRAPHY	
OB_1176087_2015-04-20T09-48.fits  	292.32509415674  	0.24607440161     	HD 183387                  	IMAGE,CLASSICAL,CORONOGRAPHY	
OB_1176087_2015-04-20T09-52.fits  	292.32509415674  	0.24607440161     	HD 183387                  	IMAGE,CLASSICAL,CORONOGRAPHY	
OB_1176093_2015-06-19T06-41.fits  	291.70040812189  	11.35465514756    	IRC +10420                 	IMAGE,CLASSICAL,CORONOGRAPHY	
OB_1176093_2015-06-19T06-57.fits  	291.70040812189  	11.35465514756    	IRC +10420                 	IMAGE,CLASSICAL,CORONOGRAPHY	
OB_1176096_2015-06-19T07-14.fits  	293.78168630972  	19.00496553056    	HD 184722                  	IMAGE,CLASSICAL,CORONOGRAPHY	
OB_1176096_2015-06-19T07-18.fits  	293.78168630972  	19.00496553056    	HD 184722                  	IMAGE,CLASSICAL,CORONOGRAPHY	
OB_1176156_2015-07-21T04-43.fits  	257.82091436984  	-32.32519834321   	V* AH Sco                  	IMAGE,CLASSICAL,CORONOGRAPHY	
OB_1176156_2015-07-21T04-57.fits  	257.82091436984  	-32.32519834321   	V* AH Sco                  	IMAGE,CLASSICAL,CORONOGRAPHY	
OB_1176156_2015-07-23T01-01.fits  	257.82091436984  	-32.32519834321   	V* AH Sco                  	IMAGE,CLASSICAL,CORONOGRAPHY	
OB_1176156_2015-07-23T01-15.fits  	257.82091436984  	-32.32519834321   	V* AH Sco                  	IMAGE,CLASSICAL,CORONOGRAPHY	
